,name,all artists,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y
81,"How Do You Want It (ft. KC, Jojo)","2Pac, Jojo, KC","g funk, gangster rap, hip hop, rap, west coast rap","dance pop, electropop, hip pop, pop, pop dance, pop rap, post-teen pop, r&b, urban contemporary","disco, funk, motown, soft rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,How Do U Want It - Edit,"2Pac, K-Ci & JoJo","g funk, gangster rap, hip hop, rap, west coast rap","dance pop, hip pop, new jack swing, quiet storm, r&b, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Better Dayz,"2Pac, Mr. Biggs","g funk, gangster rap, hip hop, rap, west coast rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Thugz Mansion - Nas Acoustic,"2Pac, Nas, J. Phoenix","g funk, gangster rap, hip hop, rap, west coast rap","country rap, lgbtq+ hip hop, pop rap, queer country",hollywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Thugs Get Lonely Too,"2Pac, Nate Dogg","g funk, gangster rap, hip hop, rap, west coast rap","g funk, gangster rap, hip hop, pop rap, rap, west coast rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,When We Ride (ft. Outlaw Immortals),"2Pac, Outlaw Immortals","g funk, gangster rap, hip hop, rap, west coast rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,LastOnesLeft,"2Pac, Outlawz","g funk, gangster rap, hip hop, rap, west coast rap",gangster rap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Until The End Of Time,"2Pac, R.L. Hugger, Samuel J. Tone Barnes","g funk, gangster rap, hip hop, rap, west coast rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Only God Can Judge Me (ft. Rappin' 4-Tay),"2Pac, Rappin 4-Tay","g funk, gangster rap, hip hop, rap, west coast rap","g funk, gangster rap, hyphy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Heavy In The Game,"2Pac, Richie Rich","g funk, gangster rap, hip hop, rap, west coast rap","adult standards, disco, mellow gold, motown, quiet storm, soft rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,California Love - Original Version,"2Pac, Roger, Dr. Dre","g funk, gangster rap, hip hop, rap, west coast rap",pop,"g funk, gangster rap, hip hop, rap, west coast rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,I Get Around,"2Pac, Shock G, Money B","g funk, gangster rap, hip hop, rap, west coast rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dog),"2Pac, Snoop Dogg","g funk, gangster rap, hip hop, rap, west coast rap","g funk, gangster rap, hip hop, rap, west coast rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,All About U,"2Pac, Snoop Dogg, Nate Dogg, Dru Down","g funk, gangster rap, hip hop, rap, west coast rap","g funk, gangster rap, hip hop, rap, west coast rap","g funk, gangster rap, hip hop, pop rap, rap, west coast rap","g funk, gangster rap, hyphy, oakland hip hop, west coast rap, west coast trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Tradin War Stories (ft. C-BO, CPO, Outlawz, The Storm)","2Pac, Storm, C-Bo, Outlawz, C-PO","g funk, gangster rap, hip hop, rap, west coast rap","grime, uk hip hop","funk, p funk, quiet storm, soul",gangster rap,"comic, rap rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Run Tha Streetz (ft. Michel'le, Storm, Mutah)","2Pac, Storm, Mutah, Michelle","g funk, gangster rap, hip hop, rap, west coast rap","grime, uk hip hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Pac's Life,"2Pac, T.I., Ashanti","g funk, gangster rap, hip hop, rap, west coast rap","atl hip hop, dance pop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","dance pop, hip hop, hip pop, pop, r&b, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Changes,"2Pac, Talent","g funk, gangster rap, hip hop, rap, west coast rap","alternative metal, canadian punk, nu metal, pop punk, punk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Runnin' (Dying To Live),"2Pac, The Notorious B.I.G.","g funk, gangster rap, hip hop, rap, west coast rap","east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Pour Out A Little Liquor,"2Pac, Thug Life","g funk, gangster rap, hip hop, rap, west coast rap","gangster rap, hardcore hip hop, hip hop, rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5 Deadly Venomz,"2Pac, Treach, Apache, Live Squad","g funk, gangster rap, hip hop, rap, west coast rap",new jersey rap,"cumbia lagunera, gruperas inmortales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
